Games,pass_completion,pass_attempts,pass_completion_percent,pass_yards,pass_td,rush_attempt,rush_yards,avg_rush_yard,rush_td,num_plays,total_yard,yard_per_play,pass_first_down,rush_first_down,penalty_first,first_downs,penalty,penalty_yards,lost_fumble,interceptions,turnovers,SRS,SOS,de_pass_completion,de_pass_attempts,de_pass_completion_percent,de_pass_yards,de_pass_td,de_rush_attempt,de_rush_yards,de_avg_rush_yard,de_rush_td,de_num_plays,de_total_yard,de_yard_per_play,de_pass_first_down,de_rush_first_down,de_penalty_first,de_first_downs,de_penalty,de_penalty_yards,de_lost_fumble,de_interceptions,de_turnovers,team_name
7,21.3,34.1,62.3,268.1,2.1,32.3,131.9,4.1,1.3,66.4,400.0,6.0,11.6,7.1,2.6,21.3,7.4,56.1,0.6,0.9,1.4,11.72,4.86,13.3,24.3,54.7,172.7,1.4,34.6,105.1,3.0,0.1,58.9,277.9,4.7,7.3,5.7,1.6,14.6,8.9,80.3,0.3,0.6,0.9,texas-am
8,25.6,40.5,63.3,289.5,2.3,36.6,175.4,4.8,1.1,77.1,464.9,6.0,14.1,10.6,0.8,25.5,6.5,54.3,0.3,1.4,1.6,7.32,2.69,18.0,32.8,55.0,230.8,1.1,37.9,148.8,3.9,1.4,70.6,379.5,5.4,9.5,8.3,2.1,19.9,4.8,35.0,0.4,0.8,1.1,texas-christian
7,22.3,32.4,68.7,282.6,2.0,39.7,207.0,5.2,2.9,72.1,489.6,6.8,11.9,11.6,1.1,24.6,6.6,60.4,1.1,0.6,1.7,0.74,-6.83,20.9,33.4,62.4,248.0,1.6,40.4,161.6,4.0,1.7,73.9,409.6,5.5,10.3,9.6,2.6,22.4,5.3,42.1,1.0,0.6,1.6,texas-state
8,21.3,36.9,57.6,231.4,2.1,36.8,176.0,4.8,1.4,73.6,407.4,5.5,10.8,10.1,1.6,22.5,5.4,53.0,0.5,1.5,2.0,5.07,2.94,21.0,33.6,62.5,219.3,1.5,36.8,147.3,4.0,1.1,70.4,366.5,5.2,9.8,8.3,1.9,19.9,4.9,42.6,0.4,0.6,1.0,texas-tech
8,17.0,26.8,63.6,209.1,2.3,42.4,232.5,5.5,2.3,69.1,441.6,6.4,10.1,10.6,2.0,22.8,7.1,63.5,0.8,0.6,1.4,2.91,-7.09,15.8,28.5,55.3,183.0,0.9,36.4,150.4,4.1,1.1,64.9,333.4,5.1,8.5,8.4,2.0,18.9,6.5,56.5,0.6,1.0,1.6,toledo
7,18.3,30.4,60.1,259.3,1.6,37.1,185.6,5.0,1.1,67.6,444.9,6.6,9.9,8.3,1.6,19.7,6.0,52.3,1.3,0.6,1.9,9.56,1.27,17.7,29.0,61.1,184.0,0.9,33.1,97.3,2.9,1.0,62.1,281.3,4.5,7.9,6.4,1.3,15.6,4.1,32.9,0.9,0.7,1.6,troy
7,15.9,25.1,63.1,229.4,2.1,39.4,169.1,4.3,1.6,64.6,398.6,6.2,9.4,9.7,1.0,20.1,5.4,52.7,1.1,0.6,1.7,8.69,-1.88,24.9,37.3,66.7,263.1,1.3,29.3,78.4,2.7,0.9,66.6,341.6,5.1,12.6,5.4,2.0,20.0,5.0,43.1,0.7,1.3,2.0,tulane
7,13.9,23.7,58.4,184.3,1.7,45.9,187.9,4.1,1.1,69.6,372.1,5.3,8.4,9.9,1.1,19.4,4.4,37.0,0.6,1.9,2.4,-4.16,-0.59,23.0,34.9,66.0,280.4,2.0,32.7,135.0,4.1,1.9,67.6,415.4,6.1,12.6,7.4,1.6,21.6,4.1,40.4,0.6,1.0,1.6,tulsa
8,26.9,37.6,71.4,278.9,1.8,35.1,152.9,4.4,2.1,72.8,431.8,5.9,12.1,9.8,1.6,23.5,6.0,50.4,0.8,1.3,2.0,-7.5,1.25,20.3,30.9,65.6,217.8,1.9,37.6,201.1,5.3,2.9,68.5,418.9,6.1,10.0,11.3,2.0,23.3,5.8,50.1,1.1,0.8,1.9,alabama-birmingham
7,17.6,28.0,62.8,267.1,2.0,41.3,232.4,5.6,2.1,69.3,499.6,7.2,10.1,11.7,1.6,23.4,6.7,54.7,0.6,0.9,1.4,1.07,0.49,16.6,29.7,55.8,199.0,1.0,40.7,196.0,4.8,2.3,70.4,395.0,5.6,10.3,10.3,1.9,22.4,4.0,34.9,0.1,0.7,0.9,central-florida
